scenario_id,family,split,controller,trajectory_type,termination_reason,mission_success,safety_success,control_success,coverage_group,position_rmse_m,position_max_err_m,saturation_percentage,degradation_percentage,force_norm_clip_percentage,force_tilt_clip_percentage,success
lissajous_g07_P5_combined_s1149,lissajous,test,classic_pid_representative,lissajous,Time limit reached,True,True,True,comparable,0.11428257699192126,0.32001367632898525,0.0,0.0,0.0,0.0,1.0
waypoint_g01_P1_drag_high_s1157,waypoint,test,classic_pid_waypoint,waypoint,Trajectory completed,True,True,True,comparable,0.03722156434970052,0.07436214675728592,0.0,0.0,0.0,0.0,1.0
waypoint_g01_P1_drag_high_s1157,waypoint,test,classic_pid_representative,waypoint,Trajectory completed,True,True,True,comparable,0.03722156434970052,0.07436214675728592,0.0,0.0,0.0,0.0,1.0
waypoint_g01_P3_wind_ne_s1159,waypoint,test,classic_pid_waypoint,waypoint,Trajectory completed,True,True,True,comparable,0.05777913085949662,0.11313376330825596,0.0,0.0,0.0,0.0,1.0
waypoint_g01_P3_wind_ne_s1159,waypoint,test,classic_pid_representative,waypoint,Trajectory completed,True,True,True,comparable,0.05777913085949662,0.11313376330825596,0.0,0.0,0.0,0.0,1.0
waypoint_g02_P3_wind_ne_s1165,waypoint,test,classic_pid_waypoint,waypoint,Trajectory completed,True,True,True,comparable,0.0748954331883023,0.1522361841393631,0.0,0.0,0.0,0.0,1.0
waypoint_g02_P3_wind_ne_s1165,waypoint,test,classic_pid_representative,waypoint,Trajectory completed,True,True,True,comparable,0.0748954331883023,0.1522361841393631,0.0,0.0,0.0,0.0,1.0
waypoint_g03_P0_nominal_s1168,waypoint,test,classic_pid_waypoint,waypoint,Trajectory completed,True,True,True,comparable,0.050909196862860544,0.08927653803658481,0.0,0.0,0.0,0.0,1.0
waypoint_g03_P0_nominal_s1168,waypoint,test,classic_pid_representative,waypoint,Trajectory completed,True,True,True,comparable,0.050909196862860544,0.08927653803658481,0.0,0.0,0.0,0.0,1.0
waypoint_g03_P5_combined_s1173,waypoint,test,classic_pid_waypoint,waypoint,Trajectory completed,True,True,True,comparable,0.10319486897576795,0.15916667472327853,0.0,0.0,0.0,0.0,1.0
waypoint_g03_P5_combined_s1173,waypoint,test,classic_pid_representative,waypoint,Trajectory completed,True,True,True,comparable,0.10319486897576795,0.15916667472327853,0.0,0.0,0.0,0.0,1.0
waypoint_g04_P0_nominal_s1174,waypoint,test,classic_pid_waypoint,waypoint,Trajectory completed,True,True,True,comparable,0.07455185834766591,0.1229538773099788,0.0,0.0,0.0,0.0,1.0
waypoint_g04_P0_nominal_s1174,waypoint,test,classic_pid_representative,waypoint,Trajectory completed,True,True,True,comparable,0.07455185834766591,0.1229538773099788,0.0,0.0,0.0,0.0,1.0
hold_g03_P0_nominal_s1048,hold,test,classic_pid_circle,hold,Time limit reached,True,True,True,comparable,7.557844259887166e-17,2.0799090912258375e-16,0.0,0.0,0.0,0.0,1.0
hold_g03_P0_nominal_s1048,hold,test,classic_pid_lissajous,hold,Time limit reached,True,True,True,comparable,5.2840458469747034e-17,1.4220500550967845e-16,0.0,0.0,0.0,0.0,1.0
hold_g03_P0_nominal_s1048,hold,test,classic_pid_waypoint,hold,Time limit reached,True,True,True,comparable,9.166471740896541e-17,1.8758029960103577e-16,0.0,0.0,0.0,0.0,1.0
hold_g03_P2_wind_east_s1049,hold,test,classic_pid_circle,hold,Time limit reached,True,True,True,comparable,0.03676469622283052,0.052632046716554304,0.0,0.0,0.0,0.0,1.0
hold_g03_P2_wind_east_s1049,hold,test,classic_pid_lissajous,hold,Time limit reached,True,True,True,comparable,0.028249469145969833,0.03662535830189536,0.0,0.0,0.0,0.0,1.0
hold_g03_P2_wind_east_s1049,hold,test,classic_pid_waypoint,hold,Time limit reached,True,True,True,comparable,0.029583931905016896,0.0480614782557779,0.0,0.0,0.0,0.0,1.0
hold_g05_P5_combined_s1056,hold,test,classic_pid_circle,hold,Time limit reached,True,True,True,comparable,0.13329242703529295,0.17078499228059474,0.0,0.0,0.0,0.0,1.0
hold_g05_P5_combined_s1056,hold,test,classic_pid_lissajous,hold,Time limit reached,True,True,True,comparable,0.10295878194554468,0.13129905701042233,0.0,0.0,0.0,0.0,1.0
hold_g05_P5_combined_s1056,hold,test,classic_pid_waypoint,hold,Time limit reached,True,True,True,comparable,0.10830580953049018,0.1551572866701414,0.0,0.0,0.0,0.0,1.0
circle_g02_P0_nominal_s1066,circle,test,classic_pid_hold,circle,Time limit reached,True,True,True,comparable,0.09498345258398413,0.314312558362445,0.0,0.0,0.0,0.0,1.0
circle_g02_P0_nominal_s1066,circle,test,classic_pid_lissajous,circle,Time limit reached,True,True,True,comparable,0.029971038784423896,0.208614320361528,0.0,0.0,0.0,0.0,1.0
circle_g02_P0_nominal_s1066,circle,test,classic_pid_waypoint,circle,Time limit reached,True,True,True,comparable,0.0449549898098898,0.2559334772036399,0.0,0.0,0.0,0.0,1.0
circle_g02_P5_combined_s1071,circle,test,classic_pid_hold,circle,Time limit reached,True,True,True,comparable,0.1549030871366852,0.3190096905597135,0.0,0.0,0.0,0.0,1.0
circle_g02_P5_combined_s1071,circle,test,classic_pid_lissajous,circle,Time limit reached,True,True,True,comparable,0.1115731267070343,0.1973818344572101,0.0,0.22172949002217296,0.0,0.0,1.0
circle_g02_P5_combined_s1071,circle,test,classic_pid_waypoint,circle,Time limit reached,True,True,True,comparable,0.11972923686610716,0.23662189518490695,0.0,0.0,0.0,0.0,1.0
circle_g04_P5_combined_s1083,circle,test,classic_pid_hold,circle,Time limit reached,True,True,True,comparable,0.1659609433675988,0.43215769231585077,0.0,1.3303769401330376,0.0,0.0,1.0
circle_g04_P5_combined_s1083,circle,test,classic_pid_lissajous,circle,Attitude angle exceeded limit (1.34 > 1.26),False,False,False,comparable,0.3413379810307788,0.7342289539406858,0.0,77.77777777777779,0.0,0.0,0.0
circle_g04_P5_combined_s1083,circle,test,classic_pid_waypoint,circle,Time limit reached,True,True,True,comparable,0.13364170098908387,0.5582974821985685,0.0,1.7738359201773837,0.0,0.0,1.0
circle_g06_P4_noise_low_s1094,circle,test,classic_pid_hold,circle,Time limit reached,True,True,True,comparable,0.05973356347388637,0.20702954249942573,0.0,0.0,0.0,0.0,1.0
circle_g06_P4_noise_low_s1094,circle,test,classic_pid_lissajous,circle,Time limit reached,True,True,True,comparable,0.02085531890118716,0.13803248389498027,0.0,0.0,0.0,0.0,1.0
circle_g06_P4_noise_low_s1094,circle,test,classic_pid_waypoint,circle,Time limit reached,True,True,True,comparable,0.030776178132676565,0.16816906271888146,0.0,0.0,0.0,0.0,1.0
circle_g07_P2_wind_east_s1098,circle,test,classic_pid_hold,circle,Time limit reached,True,True,True,comparable,0.2361769294567582,0.755027805313625,0.0,1.1086474501108647,0.0,0.0,1.0
circle_g07_P2_wind_east_s1098,circle,test,classic_pid_lissajous,circle,Time limit reached,True,True,True,comparable,0.08165606301586145,0.5368719568348739,0.0,1.5521064301552108,0.0,0.0,1.0
circle_g07_P2_wind_east_s1098,circle,test,classic_pid_waypoint,circle,Time limit reached,True,True,True,comparable,0.10852415026941838,0.6218954978690933,0.0,1.5521064301552108,0.0,0.0,1.0
circle_g07_P3_wind_ne_s1099,circle,test,classic_pid_hold,circle,Time limit reached,True,True,True,comparable,0.23812677450481404,0.7236464579562982,0.0,1.1086474501108647,0.0,0.0,1.0
circle_g07_P3_wind_ne_s1099,circle,test,classic_pid_lissajous,circle,Time limit reached,True,True,True,comparable,0.0857824703605541,0.5275049500047349,0.0,1.5521064301552108,0.0,0.0,1.0
circle_g07_P3_wind_ne_s1099,circle,test,classic_pid_waypoint,circle,Time limit reached,True,True,True,comparable,0.11168084459554771,0.6002334569450257,0.0,1.5521064301552108,0.0,0.0,1.0
