scenario_id,family,split,controller,trajectory_type,termination_reason,mission_success,safety_success,control_success,coverage_group,position_rmse_m,position_max_err_m,saturation_percentage,degradation_percentage,force_norm_clip_percentage,force_tilt_clip_percentage,success
hold_g06_P5_combined_s1059,hold,train,classic_pid_hold,hold,Time limit reached,True,True,True,baseline_partial,0.1338744407039504,0.21540570080451416,0.0,0.0,0.0,0.0,1.0
hold_g06_P5_combined_s1059,hold,train,classic_pid_representative,hold,Time limit reached,True,True,True,baseline_partial,0.1338744407039504,0.21540570080451416,0.0,0.0,0.0,0.0,1.0
circle_g01_P0_nominal_s1060,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.057151893324457005,0.36624499452399123,0.0,0.0,0.0,0.0,1.0
circle_g01_P0_nominal_s1060,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.057151893324457005,0.36624499452399123,0.0,0.0,0.0,0.0,1.0
circle_g01_P1_drag_high_s1061,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.06750113194791775,0.3705055185115323,0.0,0.0,0.0,0.0,1.0
circle_g01_P1_drag_high_s1061,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.06750113194791775,0.3705055185115323,0.0,0.0,0.0,0.0,1.0
circle_g01_P2_wind_east_s1062,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.0686651036282873,0.36981533773980896,0.0,0.0,0.0,0.0,1.0
circle_g01_P2_wind_east_s1062,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.0686651036282873,0.36981533773980896,0.0,0.0,0.0,0.0,1.0
circle_g01_P3_wind_ne_s1063,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.07650812370166128,0.3452109199961502,0.0,0.0,0.0,0.0,1.0
circle_g01_P3_wind_ne_s1063,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.07650812370166128,0.3452109199961502,0.0,0.0,0.0,0.0,1.0
circle_g01_P4_noise_low_s1064,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.05774252938077542,0.3648361509809616,0.0,0.0,0.0,0.0,1.0
circle_g01_P4_noise_low_s1064,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.05774252938077542,0.3648361509809616,0.0,0.0,0.0,0.0,1.0
circle_g01_P5_combined_s1065,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.14992580523943372,0.3350308575728714,0.0,0.8869179600886918,0.0,0.0,1.0
circle_g01_P5_combined_s1065,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.14992580523943372,0.3350308575728714,0.0,0.8869179600886918,0.0,0.0,1.0
circle_g02_P0_nominal_s1066,circle,test,classic_pid_circle,circle,Time limit reached,True,True,True,comparable,0.04158615888895835,0.2584327140308481,0.0,0.0,0.0,0.0,1.0
circle_g02_P0_nominal_s1066,circle,test,classic_pid_representative,circle,Time limit reached,True,True,True,comparable,0.04158615888895835,0.2584327140308481,0.0,0.0,0.0,0.0,1.0
circle_g02_P1_drag_high_s1067,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.050691308906828575,0.261421751495356,0.0,0.0,0.0,0.0,1.0
circle_g02_P1_drag_high_s1067,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.050691308906828575,0.261421751495356,0.0,0.0,0.0,0.0,1.0
circle_g02_P2_wind_east_s1068,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.05677684871588709,0.2615727770170245,0.0,0.0,0.0,0.0,1.0
circle_g02_P2_wind_east_s1068,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.05677684871588709,0.2615727770170245,0.0,0.0,0.0,0.0,1.0
circle_g02_P3_wind_ne_s1069,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.06640783590293631,0.2369041015320257,0.0,0.0,0.0,0.0,1.0
circle_g02_P3_wind_ne_s1069,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.06640783590293631,0.2369041015320257,0.0,0.0,0.0,0.0,1.0
circle_g02_P4_noise_low_s1070,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.041977246915557154,0.2577635145251288,0.0,0.0,0.0,0.0,1.0
circle_g02_P4_noise_low_s1070,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.041977246915557154,0.2577635145251288,0.0,0.0,0.0,0.0,1.0
circle_g02_P5_combined_s1071,circle,test,classic_pid_circle,circle,Time limit reached,True,True,True,comparable,0.14469503907787098,0.23879526491798994,0.0,0.0,0.0,0.0,1.0
circle_g02_P5_combined_s1071,circle,test,classic_pid_representative,circle,Time limit reached,True,True,True,comparable,0.14469503907787098,0.23879526491798994,0.0,0.0,0.0,0.0,1.0
circle_g03_P0_nominal_s1072,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.07621339242353173,0.4883404405796492,0.0,0.0,0.0,0.0,1.0
circle_g03_P0_nominal_s1072,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.07621339242353173,0.4883404405796492,0.0,0.0,0.0,0.0,1.0
circle_g03_P1_drag_high_s1073,circle,train,classic_pid_circle,circle,Time limit reached,True,True,True,baseline_partial,0.08999729852594272,0.4939787489598561,0.0,0.0,0.0,0.0,1.0
circle_g03_P1_drag_high_s1073,circle,train,classic_pid_representative,circle,Time limit reached,True,True,True,baseline_partial,0.08999729852594272,0.4939787489598561,0.0,0.0,0.0,0.0,1.0
