variant_tag,block,architecture,controller,split,scenario_id,family,mission_success,safety_success,position_rmse_m,saturation_percentage,degradation_percentage,force_norm_clip_percentage,force_tilt_clip_percentage,result_dir
v1_baseline,baseline,mlp,neural_outer_force_mlp,test,waypoint_g02_P3_wind_ne_s1165_outer_expert,waypoint,True,True,0.08712172589898276,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g02_P3_wind_ne_s1165_outer_expert_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,test,waypoint_g03_P0_nominal_s1168_outer_expert,waypoint,True,True,0.06107502976475,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g03_P0_nominal_s1168_outer_expert_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,test,waypoint_g03_P5_combined_s1173_outer_expert,waypoint,True,True,0.11241145791888307,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g03_P5_combined_s1173_outer_expert_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,test,waypoint_g04_P0_nominal_s1174_outer_expert,waypoint,True,True,0.069651385167614,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g04_P0_nominal_s1174_outer_expert_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,lemniscate_3d_heavy_wind,lemniscate,True,True,0.077032676592556,0.0,2.564102564102564,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_3d_heavy_wind_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,lemniscate_fast_center_yaw,lemniscate,True,True,0.10720996548139096,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_fast_center_yaw_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,lemniscate_combined_extreme,lemniscate,False,False,0.4677544119945109,0.0,52.17391304347826,0.0,32.01754385964912,data/neural_ood/battery_v1\results\lemniscate_combined_extreme_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,lissajous_3d_speedy,lissajous,True,True,0.12084378088059962,0.0,0.0,0.0,3.026841804683038,data/neural_ood/battery_v1\results\lissajous_3d_speedy_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,lissajous_extreme_noise,lissajous,True,True,0.07715568656248877,0.0,9.401709401709402,0.0,0.3997715591090805,data/neural_ood/battery_v1\results\lissajous_extreme_noise_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,composite_circle_to_lemniscate,composite,True,True,2.09899264999215,0.0,11.627906976744185,8.08609656777196,13.43804537521815,data/neural_ood/battery_v1\results\composite_circle_to_lemniscate_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,composite_aggressive_transitions,composite,True,True,0.2059983686437245,0.0,3.4482758620689653,0.0,0.0,data/neural_ood/battery_v1\results\composite_aggressive_transitions_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,helix_ascending_fast,waypoint,False,True,0.09192371785031464,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_ascending_fast_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,helix_descending_noise_wind,waypoint,False,True,0.11533082155395563,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_descending_noise_wind_neural_mlp
v1_baseline,baseline,mlp,neural_outer_force_mlp,ood,helix_tight_aggressive,waypoint,False,True,0.2809823463027281,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_tight_aggressive_neural_mlp
v1_baseline,baseline,gru,neural_outer_force_gru,test,hold_g03_P0_nominal_s1048_outer_expert,hold,True,True,0.0008760383735523014,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g03_P0_nominal_s1048_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,hold_g03_P2_wind_east_s1049_outer_expert,hold,True,True,0.03058569506808459,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g03_P2_wind_east_s1049_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,hold_g05_P5_combined_s1056_outer_expert,hold,True,True,0.11336739914293795,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g05_P5_combined_s1056_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g02_P0_nominal_s1066_outer_expert,circle,True,True,0.03299300459627959,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\circle_g02_P0_nominal_s1066_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g02_P5_combined_s1071_outer_expert,circle,True,True,0.12345066199068937,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\circle_g02_P5_combined_s1071_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g04_P5_combined_s1083_outer_expert,circle,True,True,0.12097045515497462,0.0,1.1086474501108647,0.0,0.0,data/outer_force_dataset/v1\results\circle_g04_P5_combined_s1083_outer_expert_neural_gru
v1_baseline,baseline,gru,neural_outer_force_gru,test,circle_g06_P4_noise_low_s1094_outer_expert,circle,True,True,0.023153199651986384,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\circle_g06_P4_noise_low_s1094_outer_expert_neural_gru
